source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0044424,intracellular part,2.8248716037824787e-75,True,"""Any constituent part of the living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."" [GOC:jl]",14552,9954,8223,18842,0.8261000602772754,0.5650769653655855,query_1,"['GO:0044464', 'GO:0005622']"
GO:CC,GO:0005622,intracellular,6.564299224559509e-75,True,"""The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",14596,9954,8243,18842,0.8281093027928471,0.5647437654151822,query_1,['GO:0044464']
GO:CC,GO:0005737,cytoplasm,5.8603341523092526e-74,True,"""All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",11620,9954,6754,18842,0.6785211975085392,0.5812392426850258,query_1,['GO:0044424']
GO:CC,GO:0044444,cytoplasmic part,1.4918016508581482e-61,True,"""Any constituent part of the cytoplasm, all of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [GOC:jl]",9760,9954,5733,18842,0.5759493670886076,0.5873975409836065,query_1,"['GO:0044424', 'GO:0005737']"
GO:CC,GO:0043226,organelle,7.667215019076478e-61,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",13667,9954,7733,18842,0.7768736186457705,0.5658154679154167,query_1,['GO:0005575']
GO:MF,GO:0043167,ion binding,1.2327537121261388e-53,True,"""Interacting selectively and non-covalently with ions, charged atoms or groups of atoms."" [GOC:jl]",6276,9781,3893,18098,0.3980165627236479,0.6202995538559593,query_1,['GO:0005488']
GO:CC,GO:0005829,cytosol,1.288001181705891e-49,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",5086,9954,3146,18842,0.3160538476994173,0.6185607550137633,query_1,['GO:0044444']
GO:CC,GO:0043229,intracellular organelle,2.305952076830038e-46,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",12818,9954,7240,18842,0.7273457906369298,0.5648307068185364,query_1,"['GO:0043226', 'GO:0044424']"
GO:CC,GO:0044464,cell part,2.445900869845293e-44,True,"""Any constituent part of a cell, the basic structural and functional unit of all organisms."" [GOC:jl]",17004,9954,9274,18842,0.9316857544705646,0.5454010820983298,query_1,"['GO:0005575', 'GO:0005623']"
GO:CC,GO:0005623,cell,3.414122064772084e-43,True,"""The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:go_curators]",17069,9954,9300,18842,0.9342977697408077,0.5448473841466986,query_1,['GO:0005575']
GO:CC,GO:0042995,cell projection,4.534073787336394e-42,True,"""A prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, http://www.cogsci.princeton.edu/~wn/]",2216,9954,1476,18842,0.14828209764918626,0.6660649819494585,query_1,['GO:0044464']
GO:CC,GO:0098590,plasma membrane region,7.798226363236977e-42,True,"""A membrane that is a (regional) part of the plasma membrane."" [GOC:dos]",1197,9954,861,18842,0.08649789029535865,0.7192982456140351,query_1,"['GO:0044459', 'GO:0016020']"
GO:CC,GO:0120025,plasma membrane bounded cell projection,1.1748047150333434e-39,True,"""A prolongation or process extending from a cell and that is bounded by plasma membrane, e.g. a cilium, lamellipodium, or axon."" [GOC:krc]",2144,9954,1425,18842,0.1431585292344786,0.6646455223880597,query_1,['GO:0042995']
GO:MF,GO:0005515,protein binding,2.9284033990659257e-38,True,"""Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."" [GOC:go_curators]",12715,9781,7281,18098,0.7444024128412228,0.5726307510813999,query_1,['GO:0005488']
GO:CC,GO:0043227,membrane-bounded organelle,2.9792372178733684e-37,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",12536,9954,7048,18842,0.7080570624874423,0.5622208040842374,query_1,['GO:0043226']
GO:MF,GO:0032559,adenyl ribonucleotide binding,3.7238271118528356e-35,True,"""Interacting selectively and non-covalently with an adenyl ribonucleotide, any compound consisting of adenosine esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",1556,9781,1078,18098,0.11021367958286474,0.6928020565552699,query_1,"['GO:0032555', 'GO:0030554']"
GO:MF,GO:0030554,adenyl nucleotide binding,6.217361167857575e-35,True,"""Interacting selectively and non-covalently with adenyl nucleotides, any compound consisting of adenosine esterified with (ortho)phosphate."" [ISBN:0198506732]",1567,9781,1084,18098,0.11082711379204581,0.6917677089980855,query_1,['GO:0017076']
GO:MF,GO:0005524,ATP binding,1.0861433072819446e-34,True,"""Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [ISBN:0198506732]",1498,9781,1041,18098,0.10643083529291483,0.6949265687583445,query_1,"['GO:0008144', 'GO:0032559', 'GO:0035639']"
GO:CC,GO:0044422,organelle part,4.233733072620914e-34,True,"""Any constituent part of an organelle, an organized structure of distinctive morphology and function. Includes constituent parts of the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, but excludes the plasma membrane."" [GOC:jl]",10009,9954,5718,18842,0.5744424352019288,0.5712858427415326,query_1,"['GO:0005575', 'GO:0043226']"
GO:MF,GO:0043168,anion binding,7.833227920867098e-34,True,"""Interacting selectively and non-covalently with anions, charged atoms or groups of atoms with a net negative charge."" [GOC:jl]",2820,9781,1827,18098,0.1867907166956344,0.6478723404255319,query_1,['GO:0043167']
GO:BP,GO:0016043,cellular component organization,6.787180260321723e-33,True,"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]",6454,9526,3845,17847,0.4036321646021415,0.5957545708088008,query_1,"['GO:0009987', 'GO:0071840']"
GO:CC,GO:0097458,neuron part,3.396302378419871e-32,True,"""Any constituent part of a neuron, the basic cellular unit of nervous tissue. A typical neuron consists of a cell body (often called the soma), an axon, and dendrites. Their purpose is to receive, conduct, and transmit impulses in the nervous system."" [GOC:pr, http://en.wikipedia.org/wiki/Neuron]",1771,9954,1178,18842,0.11834438416716898,0.6651609260304913,query_1,['GO:0044464']
GO:BP,GO:0071840,cellular component organization or biogenesis,1.2682925169417604e-30,True,"""A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:mah]",6636,9526,3931,17847,0.41266008817971866,0.5923749246534057,query_1,['GO:0008150']
GO:MF,GO:0008144,drug binding,5.6487454433321566e-30,True,"""Interacting selectively and non-covalently with a drug, any naturally occurring or synthetic substance, other than a nutrient, that, when administered or applied to an organism, affects the structure or functioning of the organism; in particular, any such substance used in the diagnosis, prevention, or treatment of disease."" [GOC:jl, ISBN:0198506732]",1754,9781,1180,18098,0.12064206113894285,0.6727480045610034,query_1,['GO:0005488']
GO:CC,GO:0044446,intracellular organelle part,3.6176239308143895e-29,True,"""A constituent part of an intracellular organelle, an organized structure of distinctive morphology and function, occurring within the cell. Includes constituent parts of the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton but excludes the plasma membrane."" [GOC:jl]",9699,9954,5523,18842,0.5548523206751055,0.5694401484689143,query_1,"['GO:0043229', 'GO:0044424', 'GO:0044422']"
