source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:04510,Focal adhesion,6.80599883998155e-08,True,Focal adhesion,198,4305,151,7772,0.03507549361207898,0.7626262626262627,query_1,['KEGG:00000']
KEGG,KEGG:04360,Axon guidance,3.6110871197092995e-06,True,Axon guidance,180,4305,135,7772,0.0313588850174216,0.75,query_1,['KEGG:00000']
KEGG,KEGG:04012,ErbB signaling pathway,2.381192369471941e-05,True,ErbB signaling pathway,84,4305,69,7772,0.01602787456445993,0.8214285714285714,query_1,['KEGG:00000']
KEGG,KEGG:05200,Pathways in cancer,2.8561140629697076e-05,True,Pathways in cancer,528,4305,348,7772,0.0808362369337979,0.6590909090909091,query_1,['KEGG:00000']
KEGG,KEGG:04724,Glutamatergic synapse,3.935020814601069e-05,True,Glutamatergic synapse,114,4305,89,7772,0.02067363530778165,0.7807017543859649,query_1,['KEGG:00000']
KEGG,KEGG:04015,Rap1 signaling pathway,0.00011936545373966358,True,Rap1 signaling pathway,210,4305,150,7772,0.03484320557491289,0.7142857142857143,query_1,['KEGG:00000']
KEGG,KEGG:04072,Phospholipase D signaling pathway,0.00020620791440795859,True,Phospholipase D signaling pathway,147,4305,109,7772,0.02531939605110337,0.7414965986394558,query_1,['KEGG:00000']
KEGG,KEGG:04512,ECM-receptor interaction,0.00020683268843539113,True,ECM-receptor interaction,88,4305,70,7772,0.016260162601626018,0.7954545454545454,query_1,['KEGG:00000']
KEGG,KEGG:04010,MAPK signaling pathway,0.00044050667054387657,True,MAPK signaling pathway,295,4305,201,7772,0.046689895470383276,0.6813559322033899,query_1,['KEGG:00000']
KEGG,KEGG:04974,Protein digestion and absorption,0.00045695484790569957,True,Protein digestion and absorption,95,4305,74,7772,0.017189314750290362,0.7789473684210526,query_1,['KEGG:00000']
KEGG,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,0.000587712933392603,True,EGFR tyrosine kinase inhibitor resistance,79,4305,63,7772,0.014634146341463415,0.7974683544303798,query_1,['KEGG:00000']
KEGG,KEGG:01522,Endocrine resistance,0.0024783638016309686,True,Endocrine resistance,96,4305,73,7772,0.016957026713124275,0.7604166666666666,query_1,['KEGG:00000']
KEGG,KEGG:05231,Choline metabolism in cancer,0.0033392481987838565,True,Choline metabolism in cancer,98,4305,74,7772,0.017189314750290362,0.7551020408163265,query_1,['KEGG:00000']
KEGG,KEGG:05211,Renal cell carcinoma,0.0035528736300024974,True,Renal cell carcinoma,68,4305,54,7772,0.012543554006968641,0.7941176470588235,query_1,['KEGG:00000']
KEGG,KEGG:04144,Endocytosis,0.004421643457694549,True,Endocytosis,243,4305,165,7772,0.03832752613240418,0.6790123456790124,query_1,['KEGG:00000']
KEGG,KEGG:00280,"Valine, leucine and isoleucine degradation",0.005000818372780161,True,"Valine, leucine and isoleucine degradation",48,4305,40,7772,0.009291521486643438,0.8333333333333334,query_1,['KEGG:00000']
KEGG,KEGG:05224,Breast cancer,0.005065826737582001,True,Breast cancer,147,4305,105,7772,0.024390243902439025,0.7142857142857143,query_1,['KEGG:00000']
KEGG,KEGG:04919,Thyroid hormone signaling pathway,0.005702530536259895,True,Thyroid hormone signaling pathway,119,4305,87,7772,0.020209059233449476,0.7310924369747899,query_1,['KEGG:00000']
KEGG,KEGG:00562,Inositol phosphate metabolism,0.010706698153969319,True,Inositol phosphate metabolism,74,4305,57,7772,0.0132404181184669,0.7702702702702703,query_1,['KEGG:00000']
KEGG,KEGG:04520,Adherens junction,0.010795895481843691,True,Adherens junction,71,4305,55,7772,0.012775842044134728,0.7746478873239436,query_1,['KEGG:00000']
KEGG,KEGG:05165,Human papillomavirus infection,0.011562365855376606,True,Human papillomavirus infection,330,4305,216,7772,0.050174216027874564,0.6545454545454545,query_1,['KEGG:00000']
KEGG,KEGG:04070,Phosphatidylinositol signaling system,0.014591166260055905,True,Phosphatidylinositol signaling system,99,4305,73,7772,0.016957026713124275,0.7373737373737373,query_1,['KEGG:00000']
