source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005737,cytoplasm,5.897746442141126e-91,True,"""All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",11620,15989,10357,18842,0.6477578335105385,0.8913080895008606,query_1,['GO:0044424']
GO:CC,GO:0044424,intracellular part,6.087286289934168e-89,True,"""Any constituent part of the living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."" [GOC:jl]",14552,15989,12787,18842,0.7997373194070924,0.8787108301264431,query_1,"['GO:0044464', 'GO:0005622']"
GO:CC,GO:0005622,intracellular,6.746285952146819e-84,True,"""The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",14596,15989,12810,18842,0.8011758083682532,0.8776377089613593,query_1,['GO:0044464']
GO:CC,GO:0044444,cytoplasmic part,6.42064491870259e-76,True,"""Any constituent part of the cytoplasm, all of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [GOC:jl]",9760,15989,8740,18842,0.5466258052411033,0.8954918032786885,query_1,"['GO:0044424', 'GO:0005737']"
GO:CC,GO:0043226,organelle,5.90103061679365e-63,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",13667,15989,11984,18842,0.7495152917630872,0.8768566620326333,query_1,['GO:0005575']
GO:CC,GO:0043229,intracellular organelle,1.3469347020742983e-55,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",12818,15989,11253,18842,0.7037963599974982,0.8779060695896396,query_1,"['GO:0043226', 'GO:0044424']"
GO:CC,GO:0005829,cytosol,7.99419917973241e-55,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",5086,15989,4647,18842,0.29063731315279256,0.9136846244593,query_1,['GO:0044444']
GO:CC,GO:0044422,organelle part,9.326018348181652e-51,True,"""Any constituent part of an organelle, an organized structure of distinctive morphology and function. Includes constituent parts of the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, but excludes the plasma membrane."" [GOC:jl]",10009,15989,8869,18842,0.554693852023266,0.8861025077430312,query_1,"['GO:0005575', 'GO:0043226']"
GO:CC,GO:0043227,membrane-bounded organelle,1.9038953295199751e-47,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",12536,15989,10988,18842,0.6872224654449934,0.8765156349712827,query_1,['GO:0043226']
GO:MF,GO:0043167,ion binding,3.2082849627669807e-46,True,"""Interacting selectively and non-covalently with ions, charged atoms or groups of atoms."" [GOC:jl]",6276,15568,5713,18098,0.36697070914696817,0.9102931803696622,query_1,['GO:0005488']
GO:CC,GO:0044446,intracellular organelle part,5.192984692853969e-45,True,"""A constituent part of an intracellular organelle, an organized structure of distinctive morphology and function, occurring within the cell. Includes constituent parts of the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton but excludes the plasma membrane."" [GOC:jl]",9699,15989,8584,18842,0.5368690975045344,0.8850396948138983,query_1,"['GO:0043229', 'GO:0044424', 'GO:0044422']"
GO:CC,GO:0044464,cell part,1.717468770888551e-44,True,"""Any constituent part of a cell, the basic structural and functional unit of all organisms."" [GOC:jl]",17004,15989,14655,18842,0.9165676402526737,0.8618560338743825,query_1,"['GO:0005575', 'GO:0005623']"
GO:CC,GO:0005623,cell,3.8797347419839114e-44,True,"""The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:go_curators]",17069,15989,14706,18842,0.919757333166552,0.8615618958345539,query_1,['GO:0005575']
GO:MF,GO:0005515,protein binding,5.724176692950954e-42,True,"""Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."" [GOC:go_curators]",12715,15568,11242,18098,0.7221223021582733,0.8841525756979945,query_1,['GO:0005488']
GO:CC,GO:0012505,endomembrane system,2.735024976387741e-36,True,"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]",4490,15989,4070,18842,0.2545500031271499,0.9064587973273942,query_1,['GO:0044464']
GO:CC,GO:0043231,intracellular membrane-bounded organelle,9.790614525163244e-31,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",11036,15989,9656,18842,0.6039151916942899,0.8749546937296122,query_1,"['GO:0043229', 'GO:0043227']"
